departamento,codigo_dane,municipio,poblacion,homicidios,tasa_homicidios
ANTIOQUIA,5819,Toledo,4867,12,246.55845490034932
VALLE,76041,Ansermanuevo,17894,43,240.3040125181625
NARIÑO,52540,Policarpa,9905,22,222.1100454316002
CAUCA,19050,Argelia,27464,55,200.26216137489075
CAUCA,19300,Guachené,20320,40,196.8503937007874
ARAUCA,81591,Puerto Rondón,4673,9,192.59576289321635
ANTIOQUIA,5647,San Andrés de Cuerquía,7406,13,175.53335133675398
VALLE,76823,Toro,14973,26,173.6458959460362
ANTIOQUIA,5353,Hispania,5862,10,170.590242238144
VALLE,76243,El Águila,9210,15,162.86644951140065
ANTIOQUIA,5854,Valdivia,14927,24,160.7824747102566
VALLE,76100,Bolívar,16071,25,155.55970381432394
ANTIOQUIA,5576,Pueblorrico,9040,14,154.86725663716814
ANTIOQUIA,5040,Anorí,20688,32,154.67904098994586
CAUCA,19212,Corinto,27157,42,154.65625805501344
ANTIOQUIA,5604,Remedios,32457,50,154.04997381150443
ANTIOQUIA,5642,Salgar,18915,29,153.31747290510177
ANTIOQUIA,5091,Betania,10758,16,148.72652909462724
ANTIOQUIA,5101,Ciudad Bolívar,27391,39,142.38253440911248
ARAUCA,81794,Tame,46068,65,141.0957714682643
META,50325,Mapiripán,7280,10,137.36263736263737
CAQUETÁ,18610,San José del Fragua,13229,18,136.06470632700885
CHOCÓ,27660,San José del Palmar,5164,7,135.55383423702554
ANTIOQUIA,5120,Cáceres,29159,37,126.89049693062177
HUILA,41349,Hobo,7995,10,125.07817385866166
VALLE,76845,Ulloa,5636,7,124.2015613910575
ANTIOQUIA,5031,Amalfi,28716,35,121.88327065050842
CHOCÓ,27580,Río Iro,5747,7,121.80267965895248
VALLE,76020,Alcalá,14381,17,118.21152910089702
NARIÑO,52233,Cumbitara,5948,7,117.68661735036987
VALLE,76828,Trujillo,19948,23,115.29977942650892
ANTIOQUIA,5736,Segovia,39116,45,115.04243787708354
ANTIOQUIA,5809,Titiribí,11449,13,113.54703467551751
CAUCA,19532,Patía,38915,44,113.06694076834125
VALLE,76497,Obando,12572,14,111.35857461024499
BOLÍVAR,13688,Santa Rosa del Sur,33643,37,109.97830157833725
CAUCA,19845,Villa Rica,23298,25,107.30534809854923
VALLE,76563,Pradera,49776,53,106.47701703632272
VALLE,76400,La Unión,34777,36,103.51669206659574
NARIÑO,52786,Taminango,18398,19,103.27209479291228
CHOCÓ,27001,Quibdó (CT),140076,143,102.08743824780832
CAUCA,19573,Puerto Tejada,43471,44,101.21690322283821
CAUCA,19698,Santander de Quilichao,126198,127,100.6355092790694
PUTUMAYO,86320,Orito,38938,39,100.15922748985568
ANTIOQUIA,5790,Tarazá,29027,29,99.90698315361558
HUILA,41483,Nátaga,7007,7,99.9000999000999
RISARALDA,66687,Santuario,13026,13,99.8003992015968
BOLÍVAR,13744,Simití,18510,18,97.24473257698541
CAUCA,19110,Buenos Aires,33003,32,96.96088234402933
HUILA,41020,Algeciras,22769,22,96.6226009047389
MAGDALENA,47980,Zona Bananera,79037,76,96.15749585637107
CAUCA,19533,Piamonte,9705,9,92.73570324574962
CAUCA,19780,Suárez,37158,34,91.50115722051778
VALLE,76275,Florida,57543,52,90.36720365639609
VALLE,76054,Argelia,5543,5,90.20386072523904
ANTIOQUIA,5209,Concordia,22182,20,90.16319538364439
BOLÍVAR,13670,San Pablo,29026,26,89.57486391511058
ARAUCA,81065,Arauquita,53319,47,88.14868996042686
BOLÍVAR,13490,Norosí,12515,11,87.89452656811825
VALLE,76403,La Victoria,12681,11,86.74394763819888
HUILA,41359,Isnos,26521,23,86.72372836620038
VALLE,76895,Zarzal,43760,37,84.55210237659963
NORTE DE SANTANDER,54553,Puerto Santander,9525,8,83.98950131233596
ANTIOQUIA,5887,Yarumal,41862,35,83.60804548277675
ANTIOQUIA,5893,Yondó,21677,18,83.0373206624533
ANTIOQUIA,5756,Sonson,36144,30,83.00132802124834
